"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","0"
"2",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+1"
"3",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-1"
"4",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+2"
"5",2,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+3"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+6"
"7",2,"Jonathan Taylor",IND,"RB3","13","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"8",2,"James Cook III",BUF,"RB4","7","5 out of 5","2 out of 5","2 out of 5 stars","-1"
"9",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+5"
"10",2,"Christian McCaffrey",SF,"RB5","8","4 out of 5","4 out of 5","2 out of 5 stars","-6"
"11",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","+5"
"12",3,"A.J. Brown",NE,"WR7","11","5 out of 5","2 out of 5","2 out of 5 stars","+12"
"13",3,"Derrick Henry",BAL,"RB6","13","4 out of 5","2 out of 5","3 out of 5 stars","-2"
"14",3,"Nico Collins",HOU,"WR8","8","5 out of 5","2 out of 5","3 out of 5 stars","+12"
"15",3,"Drake London",ATL,"WR9","11","4 out of 5","3 out of 5","3 out of 5 stars","+7"
"16",3,"Saquon Barkley",PHI,"RB7","10","4 out of 5","3 out of 5","4 out of 5 stars","-1"
"17",3,"Brock Bowers",LV,"TE1","13","5 out of 5","1 out of 5","3 out of 5 stars","+8"
"18",3,"George Pickens",DAL,"WR10","14","4 out of 5","3 out of 5","2 out of 5 stars","+10"
"19",3,"Chase Brown",CIN,"RB8","6","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"20",3,"Kenneth Walker III",KC,"RB9","5","5 out of 5","4 out of 5","3 out of 5 stars","-1"
"21",4,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"22",4,"De'Von Achane",MIA,"RB10","6","4 out of 5","4 out of 5","3 out of 5 stars","-13"
"23",4,"Chris Olave",NO,"WR11","8","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"24",4,"Omarion Hampton",LAC,"RB11","7","5 out of 5","2 out of 5","3 out of 5 stars","-11"
"25",4,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-7"
"26",4,"Malik Nabers",NYG,"WR12","8","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"",4
"27",4,"Ashton Jeanty",LV,"RB12","13","4 out of 5","4 out of 5","2 out of 5 stars","-17"
"28",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"29",4,"Rashee Rice",KC,"WR13","5","4 out of 5","4 out of 5","2 out of 5 stars","+4"
"30",4,"Kyren Williams",LAR,"RB13","11","4 out of 5","2 out of 5","5 out of 5 stars","-10"
"31",4,"Zay Flowers",BAL,"WR14","13","4 out of 5","2 out of 5","4 out of 5 stars","+12"
"32",4,"DeVonta Smith",PHI,"WR15","10","4 out of 5","2 out of 5","4 out of 5 stars","+12"
"33",4,"Tee Higgins",CIN,"WR16","6","5 out of 5","2 out of 5","4 out of 5 stars","+8"
"34",4,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+21"
"35",4,"Javonte Williams",DAL,"RB14","14","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"36",5,"Josh Jacobs",GB,"RB15","11","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"37",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+9"
"38",5,"Emeka Egbuka",TB,"WR17","10","5 out of 5","3 out of 5","4 out of 5 stars","+13"
"39",5,"Tetairoa McMillan",CAR,"WR18","5","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"40",5,"Breece Hall",NYJ,"RB16","13","4 out of 5","4 out of 5","3 out of 5 stars","-8"
"41",5,"Jaylen Waddle",DEN,"WR19","10","4 out of 5","3 out of 5","2 out of 5 stars","+8"
"42",5,"Ladd McConkey",LAC,"WR20","7","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"43",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+14"
"44",5,"Jeremiyah Love",ARI,"RB17","14","5 out of 5","3 out of 5","2 out of 5 stars","-21"
"45",5,"Davante Adams",LAR,"WR21","11","4 out of 5","4 out of 5","1 out of 5 stars","+9"
"46",5,"Garrett Wilson",NYJ,"WR22","13","4 out of 5","4 out of 5","4 out of 5 stars","-9"
"47",5,"Jameson Williams",DET,"WR23","6","4 out of 5","3 out of 5","4 out of 5 stars","+9"
"48",5,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","4 out of 5","3 out of 5 stars","-13"
"49",5,"Terry McLaurin",WAS,"WR24","7","4 out of 5","2 out of 5","2 out of 5 stars","+10"
"50",5,"D'Andre Swift",CHI,"RB19","10","3 out of 5","2 out of 5","2 out of 5 stars","+2"
"51",5,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+15"
"52",6,"Christian Watson",GB,"WR25","11","4 out of 5","4 out of 5","5 out of 5 stars","+18"
"53",6,"Quinshon Judkins",CLE,"RB20","11","4 out of 5","4 out of 5","3 out of 5 stars","-14"
"54",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","4 out of 5","5 out of 5 stars","+14"
"55",6,"Cam Skattebo",NYG,"RB21","8","4 out of 5","4 out of 5","4 out of 5 stars","-15"
"56",6,"Rome Odunze",CHI,"WR26","10","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"57",6,"Luther Burden III",CHI,"WR27","10","4 out of 5","4 out of 5","3 out of 5 stars","-15"
"58",6,"David Montgomery",HOU,"RB22","8","4 out of 5","2 out of 5","4 out of 5 stars","-5"
"59",6,"Bucky Irving",TB,"RB23","10","3 out of 5","4 out of 5","2 out of 5 stars","-23"
"60",6,"Mike Evans",SF,"WR28","8","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"61",6,"DJ Moore",BUF,"WR29","7","4 out of 5","2 out of 5","4 out of 5 stars","-14"
"62",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","-4"
"63",6,"Bhayshul Tuten",JAC,"RB24","7","4 out of 5","3 out of 5","4 out of 5 stars","-13"
"64",6,"Tucker Kraft",GB,"TE5","11","5 out of 5","2 out of 5","2 out of 5 stars","+10"
"65",6,"Jadarian Price",SEA,"RB25","11","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"66",6,"Caleb Williams",CHI,"QB7","10","4 out of 5","2 out of 5","3 out of 5 stars","+20"
"67",6,"TreVeyon Henderson",NE,"RB26","11","4 out of 5","4 out of 5","2 out of 5 stars","-19"
"68",6,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+20"
"69",6,"Parker Washington",JAC,"WR30","7","4 out of 5","3 out of 5","4 out of 5 stars","+4"
"70",7,"Marvin Harrison Jr.",ARI,"WR31","14","4 out of 5","4 out of 5","2 out of 5 stars","+15"
"71",7,"Rhamondre Stevenson",NE,"RB27","11","4 out of 5","3 out of 5","2 out of 5 stars","-9"
"72",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","1 out of 5","4 out of 5 stars","+17"
"73",7,"Brian Thomas Jr.",JAC,"WR32","7","2 out of 5","4 out of 5","4 out of 5 stars","+10"
"74",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","+18"
"75",7,"Carnell Tate",TEN,"WR33","9","4 out of 5","3 out of 5","3 out of 5 stars","-3"
"76",7,"Tony Pollard",TEN,"RB28","9","4 out of 5","3 out of 5","3 out of 5 stars","-5"
"77",7,"Jaylen Warren",PIT,"RB29","9","4 out of 5","4 out of 5","2 out of 5 stars","-17"
"78",7,"DK Metcalf",PIT,"WR34","9","3 out of 5","3 out of 5","3 out of 5 stars","+4"
"79",7,"Sam LaPorta",DET,"TE6","6","4 out of 5","3 out of 5","3 out of 5 stars","+8"
"80",7,"J.K. Dobbins",DEN,"RB30","10","4 out of 5","4 out of 5","2 out of 5 stars","0"
"81",7,"Rico Dowdle",PIT,"RB31","9","4 out of 5","4 out of 5","2 out of 5 stars","-12"
"82",7,"Courtland Sutton",DEN,"WR35","10","2 out of 5","4 out of 5","2 out of 5 stars","-7"
"83",7,"Jonathon Brooks",CAR,"RB32","5","4 out of 5","4 out of 5","1 out of 5 stars","+33"
"84",7,"Blake Corum",LAR,"RB33","11","4 out of 5","4 out of 5","5 out of 5 stars","-3"
"85",7,"Quentin Johnston",LAC,"WR36","7","4 out of 5","4 out of 5","2 out of 5 stars","+26"
"86",7,"Alec Pierce",IND,"WR37","13","4 out of 5","4 out of 5","4 out of 5 stars","+12"
"87",7,"Harold Fannin Jr.",CLE,"TE7","11","4 out of 5","3 out of 5","3 out of 5 stars","-23"
"88",7,"Kyle Pitts Sr.",ATL,"TE8","11","4 out of 5","4 out of 5","3 out of 5 stars","-9"
"89",7,"Jacory Croskey-Merritt",WAS,"RB34","7","4 out of 5","4 out of 5","4 out of 5 stars","+6"
"90",7,"Chris Godwin Jr.",TB,"WR38","10","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"",7
"91",7,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"92",7,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+20"
"93",7,"Jordan Mason",MIN,"RB35","6","4 out of 5","3 out of 5","4 out of 5 stars","0"
"94",7,"Jaxson Dart",NYG,"QB12","8","5 out of 5","4 out of 5","4 out of 5 stars","0"
"95",7,"Chuba Hubbard",CAR,"RB36","5","2 out of 5","4 out of 5","1 out of 5 stars","-17"
"96",7,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","+19"
"97",8,"Michael Wilson",ARI,"WR39","14","-","-","2 out of 5 stars","-21"
"98",8,"Jordan Addison",MIN,"WR40","6","4 out of 5","4 out of 5","5 out of 5 stars","+4"
"99",8,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","+10"
"100",8,"Dalton Kincaid",BUF,"TE10","7","3 out of 5","4 out of 5","3 out of 5 stars","-1"
"101",8,"Kyle Monangai",CHI,"RB37","10","4 out of 5","4 out of 5","2 out of 5 stars","-24"
"102",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","+21"
"103",8,"Jayden Reed",GB,"WR41","11","4 out of 5","4 out of 5","5 out of 5 stars","+18"
"104",8,"Jared Goff",DET,"QB16","6","4 out of 5","1 out of 5","5 out of 5 stars","+26"
"105",8,"Michael Pittman Jr.",PIT,"WR42","9","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"106",8,"Travis Kelce",KC,"TE11","5","2 out of 5","3 out of 5","4 out of 5 stars","0"
"107",8,"Makai Lemon",PHI,"WR43","10","4 out of 5","3 out of 5","4 out of 5 stars","+93"
"108",8,"Dallas Goedert",PHI,"TE12","10","4 out of 5","3 out of 5","4 out of 5 stars","+6"
"109",8,"RJ Harvey",DEN,"RB38","10","2 out of 5","4 out of 5","2 out of 5 stars","-46"
"110",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+40"
"111",8,"Josh Downs",IND,"WR44","13","3 out of 5","4 out of 5","4 out of 5 stars","-1"
"112",8,"Rachaad White",WAS,"RB39","7","4 out of 5","2 out of 5","4 out of 5 stars","+6"
"113",8,"Kenny Gainwell",TB,"RB40","10","4 out of 5","3 out of 5","2 out of 5 stars","-22"
"114",8,"Jakobi Meyers",JAC,"WR45","7","2 out of 5","3 out of 5","4 out of 5 stars","-18"
"115",8,"Chris Rodriguez Jr.",JAC,"RB41","7","3 out of 5","4 out of 5","4 out of 5 stars","+26"
"116",8,"Isaiah Likely",NYG,"TE13","8","4 out of 5","4 out of 5","3 out of 5 stars","-12"
"117",8,"Mark Andrews",BAL,"TE14","13","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"118",8,"Aaron Jones Sr.",MIN,"RB42","6","1 out of 5","4 out of 5","4 out of 5 stars","-18"
"119",8,"Baker Mayfield",TB,"QB18","10","3 out of 5","4 out of 5","2 out of 5 stars","+21"
"120",8,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+18"
"121",8,"Wan'Dale Robinson",TEN,"WR46","9","4 out of 5","3 out of 5","3 out of 5 stars","-31"
"122",8,"Stefon Diggs",WAS,"WR47","7","4 out of 5","2 out of 5","2 out of 5 stars","-3"
"123",8,"Xavier Worthy",KC,"WR48","5","4 out of 5","4 out of 5","2 out of 5 stars","+12"
"124",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+27"
"125",8,"Romeo Doubs",NE,"WR49","11","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"126",8,"Tyler Allgeier",ARI,"RB43","14","4 out of 5","4 out of 5","2 out of 5 stars","-21"
"127",8,"Matthew Golden",GB,"WR50","11","3 out of 5","4 out of 5","5 out of 5 stars","+38"
"128",9,"Woody Marks",HOU,"RB44","8","3 out of 5","4 out of 5","4 out of 5 stars","-25"
"129",9,"KC Concepcion",CLE,"WR51","11","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"130",9,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+19"
"131",9,"Jake Ferguson",DAL,"TE15","14","2 out of 5","4 out of 5","2 out of 5 stars","-23"
"132",9,"Jalen Coker",CAR,"WR52","5","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"133",9,"Jordyn Tyson",NO,"WR53","8","3 out of 5","5 out of 5","3 out of 5 stars","-32"
"134",9,"De'Zhaun Stribling",SF,"WR54","8","4 out of 5","4 out of 5","2 out of 5 stars","+42"
"135",9,"Tank Bigsby",PHI,"RB45","10","4 out of 5","4 out of 5","4 out of 5 stars","+23"
"136",9,"Juwan Johnson",NO,"TE16","8","4 out of 5","2 out of 5","2 out of 5 stars","-16"
"137",9,"Rashid Shaheed",SEA,"WR55","11","4 out of 5","4 out of 5","3 out of 5 stars","+26"
"138",9,"Sam Darnold",SEA,"QB22","11","1 out of 5","4 out of 5","4 out of 5 stars","+30"
"139",9,"Khalil Shakir",BUF,"WR56","7","2 out of 5","4 out of 5","4 out of 5 stars","-2"
"140",9,"Deebo Samuel Sr.",SF,"WR57","8","4 out of 5","3 out of 5","2 out of 5 stars","+6"
"141",9,"Zach Charbonnet",SEA,"RB46","11","3 out of 5","4 out of 5","4 out of 5 stars","-19"
"142",9,"Keaton Mitchell",LAC,"RB47","7","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"143",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+26"
"144",9,"Jonah Coleman",DEN,"RB48","10","4 out of 5","4 out of 5","2 out of 5 stars","-15"
"145",9,"Hunter Henry",NE,"TE17","11","2 out of 5","4 out of 5","4 out of 5 stars","-18"
"146",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+52"
"147",9,"Isiah Pacheco",DET,"RB49","6","3 out of 5","4 out of 5","5 out of 5 stars","+17"
"148",9,"Tyjae Spears",TEN,"RB50","9","3 out of 5","4 out of 5","3 out of 5 stars","-23"
"149",9,"Brian Robinson Jr.",ATL,"RB51","11","1 out of 5","4 out of 5","2 out of 5 stars","-32"
"150",9,"Brenton Strange",JAC,"TE18","7","3 out of 5","3 out of 5","3 out of 5 stars","-14"
"151",9,"Braelon Allen",NYJ,"RB52","13","2 out of 5","4 out of 5","3 out of 5 stars","+10"
"152",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+18"
"153",9,"Tyrone Tracy Jr.",NYG,"RB53","8","2 out of 5","4 out of 5","4 out of 5 stars","-25"
"154",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+32"
"155",9,"Mike Washington Jr.",LV,"RB54","13","4 out of 5","4 out of 5","2 out of 5 stars","-24"
"156",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-23"
"157",9,"Chig Okonkwo",WAS,"TE19","7","4 out of 5","3 out of 5","1 out of 5 stars","+2"
"158",9,"Adonai Mitchell",NYJ,"WR59","13","4 out of 5","4 out of 5","4 out of 5 stars","+32"
"159",9,"MarShawn Lloyd",GB,"RB55","11","4 out of 5","4 out of 5","4 out of 5 stars","+52"
"160",10,"Tre Tucker",LV,"WR60","13","4 out of 5","2 out of 5","2 out of 5 stars","+53"
"161",10,"Dylan Sampson",CLE,"RB56","11","4 out of 5","2 out of 5","3 out of 5 stars","-8"
"162",10,"Jauan Jennings",MIN,"WR61","6","2 out of 5","4 out of 5","5 out of 5 stars","+4"
"163",10,"Alvin Kamara",NO,"RB57","8","2 out of 5","4 out of 5","3 out of 5 stars","-18"
"164",10,"Jalen McMillan",TB,"WR62","10","4 out of 5","4 out of 5","4 out of 5 stars","+21"
"165",10,"Kayshon Boutte",HOU,"WR63","8","2 out of 5","4 out of 5","3 out of 5 stars","+9"
"166",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-19"
"167",10,"Jerry Jeudy",CLE,"WR64","11","2 out of 5","4 out of 5","3 out of 5 stars","+10"
"168",10,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-26"
"169",10,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-35"
"170",10,"Dalton Schultz",HOU,"TE20","8","4 out of 5","2 out of 5","4 out of 5 stars","-31"
"171",10,"Terrance Ferguson",LAR,"TE21","11","4 out of 5","4 out of 5","4 out of 5 stars","+1"
"172",10,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+22"
"173",10,"Emmett Johnson",KC,"RB58","5","4 out of 5","4 out of 5","3 out of 5 stars","-19"
"174",10,"Tre' Harris",LAC,"WR65","7","4 out of 5","3 out of 5","2 out of 5 stars","+18"
"175",10,"Oronde Gadsden II",LAC,"TE22","7","3 out of 5","4 out of 5","4 out of 5 stars","-27"
"176",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-20"
"177",10,"AJ Barner",SEA,"TE23","11","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"178",10,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+73"
"179",10,"Ray Davis",BUF,"RB59","7","4 out of 5","4 out of 5","2 out of 5 stars","+20"
