"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"8",2,"Justin Jefferson",MIN,"WR6","6","5 out of 5","2 out of 5","5 out of 5 stars","+4"
"9",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"11",2,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+7"
"13",3,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-4"
"14",3,"Nico Collins",HOU,"WR9","8","4 out of 5","2 out of 5","3 out of 5 stars","+10"
"15",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"16",3,"Chris Olave",NO,"WR10","8","4 out of 5","4 out of 5","3 out of 5 stars","+10"
"17",3,"Trey McBride",ARI,"TE1","14","4 out of 5","2 out of 5","2 out of 5 stars","+8"
"18",3,"Brock Bowers",LV,"TE2","13","5 out of 5","1 out of 5","3 out of 5 stars","+4"
"19",3,"George Pickens",DAL,"WR11","14","4 out of 5","4 out of 5","2 out of 5 stars","+4"
"20",3,"De'Von Achane",MIA,"RB7","6","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"21",4,"DeVonta Smith",PHI,"WR12","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"22",4,"Saquon Barkley",PHI,"RB8","10","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"23",4,"Malik Nabers",NYG,"WR13","8","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"24",4,"Kenneth Walker III",KC,"RB9","5","5 out of 5","4 out of 5","3 out of 5 stars","-6"
"25",4,"Omarion Hampton",LAC,"RB10","7","5 out of 5","2 out of 5","3 out of 5 stars","-10"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","3 out of 5 stars","-5"
"",4
"27",4,"Rashee Rice",KC,"WR14","5","4 out of 5","4 out of 5","2 out of 5 stars","+1"
"28",4,"Ashton Jeanty",LV,"RB11","13","4 out of 5","4 out of 5","2 out of 5 stars","-11"
"29",4,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+6"
"30",4,"Garrett Wilson",NYJ,"WR16","13","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"32",4,"Ladd McConkey",LAC,"WR17","7","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"33",4,"Jaylen Waddle",DEN,"WR18","10","4 out of 5","3 out of 5","2 out of 5 stars","+14"
"34",4,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+6"
"35",4,"Tee Higgins",CIN,"WR19","6","5 out of 5","2 out of 5","4 out of 5 stars","+6"
"36",5,"Tetairoa McMillan",CAR,"WR20","5","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"37",5,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+16"
"38",5,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-22"
"39",5,"Breece Hall",NYJ,"RB13","13","4 out of 5","4 out of 5","3 out of 5 stars","-6"
"40",5,"Jeremiyah Love",ARI,"RB14","14","5 out of 5","3 out of 5","2 out of 5 stars","-10"
"41",5,"Emeka Egbuka",TB,"WR21","10","5 out of 5","3 out of 5","4 out of 5 stars","+1"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-13"
"43",5,"Javonte Williams",DAL,"RB16","14","4 out of 5","3 out of 5","4 out of 5 stars","-12"
"44",5,"Travis Etienne Jr.",NO,"RB17","8","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"45",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"46",5,"Luther Burden III",CHI,"WR22","10","4 out of 5","4 out of 5","3 out of 5 stars","+9"
"47",5,"Terry McLaurin",WAS,"WR23","7","4 out of 5","2 out of 5","2 out of 5 stars","+9"
"48",5,"Davante Adams",LAR,"WR24","11","3 out of 5","4 out of 5","1 out of 5 stars","+3"
"49",5,"DJ Moore",BUF,"WR25","7","4 out of 5","2 out of 5","4 out of 5 stars","+1"
"50",5,"D'Andre Swift",CHI,"RB18","10","3 out of 5","2 out of 5","2 out of 5 stars","-6"
"51",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"52",6,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+10"
"53",6,"Jameson Williams",DET,"WR26","6","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"54",6,"Christian Watson",GB,"WR27","11","4 out of 5","4 out of 5","5 out of 5 stars","+14"
"55",6,"Cam Skattebo",NYG,"RB19","8","4 out of 5","4 out of 5","4 out of 5 stars","-19"
"56",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+7"
"57",6,"Bucky Irving",TB,"RB20","10","3 out of 5","4 out of 5","2 out of 5 stars","-9"
"58",6,"Rome Odunze",CHI,"WR28","10","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"59",6,"Mike Evans",SF,"WR29","8","4 out of 5","3 out of 5","2 out of 5 stars","+6"
"60",6,"Parker Washington",JAC,"WR30","7","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"61",6,"David Montgomery",HOU,"RB21","8","4 out of 5","2 out of 5","4 out of 5 stars","-12"
"62",6,"Quinshon Judkins",CLE,"RB22","11","4 out of 5","4 out of 5","3 out of 5 stars","-17"
"63",6,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+15"
"64",6,"Bhayshul Tuten",JAC,"RB23","7","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"65",6,"Carnell Tate",TEN,"WR31","9","4 out of 5","2 out of 5","3 out of 5 stars","+9"
"66",6,"Marvin Harrison Jr.",ARI,"WR32","14","3 out of 5","4 out of 5","2 out of 5 stars","+6"
"67",6,"Jadarian Price",SEA,"RB24","11","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"68",6,"Justin Herbert",LAC,"QB8","7","5 out of 5","2 out of 5","2 out of 5 stars","+15"
"69",6,"TreVeyon Henderson",NE,"RB25","11","4 out of 5","4 out of 5","2 out of 5 stars","-8"
"70",7,"Rhamondre Stevenson",NE,"RB26","11","4 out of 5","3 out of 5","2 out of 5 stars","-4"
"71",7,"Chris Godwin Jr.",TB,"WR33","10","4 out of 5","4 out of 5","4 out of 5 stars","+17"
"72",7,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-5"
"73",7,"Jaylen Warren",PIT,"RB27","9","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"74",7,"Dak Prescott",DAL,"QB9","14","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"75",7,"Trevor Lawrence",JAC,"QB10","7","5 out of 5","1 out of 5","4 out of 5 stars","+12"
"76",7,"Kyle Pitts Sr.",ATL,"TE6","11","4 out of 5","4 out of 5","3 out of 5 stars","-5"
"77",7,"Tucker Kraft",GB,"TE7","11","4 out of 5","2 out of 5","2 out of 5 stars","-7"
"78",7,"DK Metcalf",PIT,"WR34","9","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"79",7,"Brian Thomas Jr.",JAC,"WR35","7","2 out of 5","4 out of 5","4 out of 5 stars","+3"
"80",7,"Michael Pittman Jr.",PIT,"WR36","9","4 out of 5","3 out of 5","3 out of 5 stars","+15"
"81",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","3 out of 5","3 out of 5 stars","-8"
"82",7,"Wan'Dale Robinson",TEN,"WR37","9","3 out of 5","3 out of 5","3 out of 5 stars","+19"
"83",7,"Tony Pollard",TEN,"RB28","9","4 out of 5","2 out of 5","3 out of 5 stars","-6"
"84",7,"Courtland Sutton",DEN,"WR38","10","2 out of 5","4 out of 5","2 out of 5 stars","-8"
"85",7,"Josh Downs",IND,"WR39","13","3 out of 5","4 out of 5","4 out of 5 stars","+33"
"86",7,"Rico Dowdle",PIT,"RB29","9","4 out of 5","4 out of 5","2 out of 5 stars","-7"
"87",7,"Jonathon Brooks",CAR,"RB30","5","4 out of 5","4 out of 5","1 out of 5 stars","-6"
"88",7,"Michael Wilson",ARI,"WR40","14","-","-","2 out of 5 stars","-2"
"89",7,"Quentin Johnston",LAC,"WR41","7","4 out of 5","4 out of 5","2 out of 5 stars","+15"
"90",7,"RJ Harvey",DEN,"RB31","10","2 out of 5","4 out of 5","2 out of 5 stars","-5"
"",7
"91",7,"Stefon Diggs",WAS,"WR42","7","4 out of 5","2 out of 5","2 out of 5 stars","+7"
"92",7,"Brock Purdy",SF,"QB11","8","4 out of 5","1 out of 5","1 out of 5 stars","+17"
"93",7,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","-9"
"94",7,"Bo Nix",DEN,"QB12","10","4 out of 5","2 out of 5","3 out of 5 stars","+17"
"95",7,"Travis Kelce",KC,"TE10","5","3 out of 5","3 out of 5","4 out of 5 stars","-2"
"96",7,"Kenny Gainwell",TB,"RB32","10","4 out of 5","3 out of 5","2 out of 5 stars","0"
"97",7,"Jaxson Dart",NYG,"QB13","8","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"98",8,"Chuba Hubbard",CAR,"RB33","5","2 out of 5","4 out of 5","1 out of 5 stars","-8"
"99",8,"Alec Pierce",IND,"WR43","13","4 out of 5","4 out of 5","4 out of 5 stars","-7"
"100",8,"MarShawn Lloyd",GB,"RB34","11","4 out of 5","4 out of 5","4 out of 5 stars","+19"
"101",8,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","+5"
"102",8,"J.K. Dobbins",DEN,"RB35","10","4 out of 5","4 out of 5","2 out of 5 stars","-13"
"103",8,"Jayden Reed",GB,"WR44","11","4 out of 5","4 out of 5","5 out of 5 stars","+18"
"104",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-13"
"105",8,"Jared Goff",DET,"QB16","6","3 out of 5","1 out of 5","5 out of 5 stars","+20"
"106",8,"Jakobi Meyers",JAC,"WR45","7","2 out of 5","2 out of 5","4 out of 5 stars","+17"
"107",8,"Jordan Addison",MIN,"WR46","6","4 out of 5","3 out of 5","5 out of 5 stars","0"
"108",8,"Makai Lemon",PHI,"WR47","10","4 out of 5","2 out of 5","4 out of 5 stars","+7"
"109",8,"Blake Corum",LAR,"RB36","11","4 out of 5","4 out of 5","5 out of 5 stars","-10"
"110",8,"Dalton Kincaid",BUF,"TE11","7","4 out of 5","4 out of 5","3 out of 5 stars","+12"
"111",8,"Jacory Croskey-Merritt",WAS,"RB37","7","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"112",8,"Rachaad White",WAS,"RB38","7","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"113",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+27"
"114",8,"Jordan Mason",MIN,"RB39","6","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"115",8,"KC Concepcion",CLE,"WR48","11","4 out of 5","4 out of 5","3 out of 5 stars","+11"
"116",8,"Jordan Love",GB,"QB18","11","4 out of 5","2 out of 5","4 out of 5 stars","+32"
"117",8,"Jake Ferguson",DAL,"TE12","14","2 out of 5","4 out of 5","2 out of 5 stars","-5"
"118",8,"Kyle Monangai",CHI,"RB40","10","4 out of 5","4 out of 5","2 out of 5 stars","-16"
"119",8,"Baker Mayfield",TB,"QB19","10","3 out of 5","4 out of 5","2 out of 5 stars","+16"
"120",8,"Aaron Jones Sr.",MIN,"RB41","6","1 out of 5","4 out of 5","4 out of 5 stars","0"
"121",8,"Dallas Goedert",PHI,"TE13","10","4 out of 5","3 out of 5","4 out of 5 stars","-11"
"122",8,"Isaiah Likely",NYG,"TE14","8","4 out of 5","3 out of 5","3 out of 5 stars","-17"
"123",8,"Jalen Coker",CAR,"WR49","5","4 out of 5","3 out of 5","2 out of 5 stars","+19"
"124",8,"Khalil Shakir",BUF,"WR50","7","2 out of 5","4 out of 5","4 out of 5 stars","+23"
"125",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+27"
"126",8,"Romeo Doubs",NE,"WR51","11","4 out of 5","3 out of 5","2 out of 5 stars","+4"
"127",8,"Matthew Golden",GB,"WR52","11","4 out of 5","4 out of 5","5 out of 5 stars","0"
"128",8,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+39"
"129",9,"Xavier Worthy",KC,"WR53","5","4 out of 5","4 out of 5","2 out of 5 stars","0"
