"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","3 out of 5 stars","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Amon-Ra St. Brown",DET,"WR3","6","5 out of 5","1 out of 5","4 out of 5 stars","+3"
"6",1,"Jaxon Smith-Njigba",SEA,"WR4","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"7",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"8",2,"Justin Jefferson",MIN,"WR5","6","5 out of 5","2 out of 5","5 out of 5 stars","+4"
"9",2,"CeeDee Lamb",DAL,"WR6","14","4 out of 5","2 out of 5","0 out of 5 stars","+1"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"11",2,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","4 out of 5 stars","+9"
"12",2,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+6"
"13",3,"Nico Collins",HOU,"WR9","8","4 out of 5","2 out of 5","2 out of 5 stars","+10"
"14",3,"James Cook III",BUF,"RB5","7","5 out of 5","1 out of 5","1 out of 5 stars","-5"
"15",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"16",3,"Chris Olave",NO,"WR10","8","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"17",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","3 out of 5 stars","+4"
"18",3,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","1 out of 5 stars","+7"
"19",3,"George Pickens",DAL,"WR11","14","4 out of 5","4 out of 5","0 out of 5 stars","+5"
"20",3,"De'Von Achane",MIA,"RB7","6","4 out of 5","4 out of 5","4 out of 5 stars","-9"
"21",3,"DeVonta Smith",PHI,"WR12","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"22",3,"Saquon Barkley",PHI,"RB8","10","4 out of 5","3 out of 5","5 out of 5 stars","-8"
"23",3,"Malik Nabers",NYG,"WR13","8","4 out of 5","4 out of 5","5 out of 5 stars","+6"
"24",3,"Kenneth Walker III",KC,"RB9","5","5 out of 5","4 out of 5","3 out of 5 stars","-7"
"25",3,"Omarion Hampton",LAC,"RB10","7","5 out of 5","2 out of 5","3 out of 5 stars","-10"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","4 out of 5 stars","-4"
"",4
"27",4,"Rashee Rice",KC,"WR14","5","4 out of 5","4 out of 5","3 out of 5 stars","+4"
"28",4,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+7"
"29",4,"Ashton Jeanty",LV,"RB11","13","4 out of 5","4 out of 5","2 out of 5 stars","-10"
"30",4,"Garrett Wilson",NYJ,"WR16","13","4 out of 5","4 out of 5","5 out of 5 stars","+10"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","+7"
"32",4,"Jaylen Waddle",DEN,"WR17","10","4 out of 5","3 out of 5","2 out of 5 stars","+14"
"33",4,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-17"
"34",4,"Ladd McConkey",LAC,"WR18","7","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"35",4,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","3 out of 5 stars","+17"
"36",4,"Tetairoa McMillan",CAR,"WR19","5","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"37",4,"Tee Higgins",CIN,"WR20","6","5 out of 5","2 out of 5","3 out of 5 stars","+4"
"38",4,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"39",5,"Breece Hall",NYJ,"RB13","13","4 out of 5","4 out of 5","2 out of 5 stars","-6"
"40",5,"Jeremiyah Love",ARI,"RB14","14","5 out of 5","4 out of 5","1 out of 5 stars","-10"
"41",5,"Emeka Egbuka",TB,"WR21","10","5 out of 5","3 out of 5","5 out of 5 stars","+1"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-14"
"43",5,"Javonte Williams",DAL,"RB16","14","4 out of 5","3 out of 5","4 out of 5 stars","-16"
"44",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"45",5,"Travis Etienne Jr.",NO,"RB17","8","4 out of 5","4 out of 5","4 out of 5 stars","-11"
"46",5,"Luther Burden III",CHI,"WR22","10","4 out of 5","4 out of 5","3 out of 5 stars","+7"
"47",5,"Terry McLaurin",WAS,"WR23","7","4 out of 5","2 out of 5","1 out of 5 stars","+11"
"48",5,"Davante Adams",LAR,"WR24","11","4 out of 5","4 out of 5","1 out of 5 stars","+2"
