Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
38,Tetairoa McMillan   CAR (5),WR16,36,38,42,48,36,40.0,38
39,Garrett Wilson   NYJ (13),WR17,34,46,46,41,38,41.0,44  -5
40,Colston Loveland   CHI (10),TE3,38,40,41,45,41,41.0,41  -1
41,Tee Higgins   CIN (6),WR18,46,35,37,51,37,41.2,34  +7
42,Emeka Egbuka   TB (10),WR19,40,39,45,43,39,41.2,43  -1
43,Ladd McConkey   LAC (7),WR20,43,37,40,42,56,43.6,35  +8
44,D'Andre Swift   CHI (10),RB19,53,52,35,40,43,44.6,45  -1
45,Quinshon Judkins   CLE (11),RB20,45,54,48,36,48,46.2,53  -8
46,Josh Jacobs   GB (11),RB21,48,36,44,55,51,46.8,57  -11
47,Jaylen Waddle   DEN (10),WR21,50,45,47,50,42,46.8,39  +8
48,Bucky Irving   TB (10),RB22,54,43,43,38,57,47.0,46  +2
49,David Montgomery   HOU (8),RB23,57,48,50,44,47,49.2,47  +2
50,DJ Moore   BUF (7),WR22,56,55,51,34,52,49.6,52  -2
51,Davante Adams   LAR (11),WR23,42,50,55,57,45,49.8,50  +1
52,Tyler Warren   IND (13),TE4,47,49,56,54,53,51.8,49  +3
53,Drake Maye   NE (11),QB3,44,47,52,69,55,53.4,48  +5
54,Joe Burrow   CIN (6),QB4,52,51,49,65,54,54.2,55  -1
55,Luther Burden III   CHI (10),WR24,66,53,60,46,50,55.0,54  +1
56,Terry McLaurin   WAS (7),WR25,55,56,58,59,49,55.4,51  +5
57,Bhayshul Tuten   JAC (7),RB24,58,61,53,49,60,56.2,61  -4
58,Jameson Williams   DET (6),WR26,59,59,57,56,59,58.0,58
59,Jadarian Price   SEA (11),RB25,62,65,54,47,64,58.4,56  +3
60,Rome Odunze   CHI (10),WR27,60,64,61,58,63,61.2,60
61,TreVeyon Henderson   NE (11),RB26,69,57,66,53,62,61.4,64  -3
62,Jayden Daniels   WAS (7),QB5,49,66,62,77,67,64.2,67  -5
63,Jalen Hurts   PHI (10),QB6,51,60,64,78,70,64.6,59  +4
64,Parker Washington   JAC (7),WR28,82,73,71,61,44,66.2,66  -2
65,Mike Evans   SF (8),WR29,76,62,63,71,65,67.4,62  +3
66,Rhamondre Stevenson   NE (11),RB27,71,81,70,60,58,68.0,75  -9
67,Harold Fannin Jr.   CLE (11),TE5,63,70,69,62,76,68.0,73  -6
68,Christian Watson   GB (11),WR30,81,69,65,68,61,68.8,65  +3
69,Jaylen Warren   PIT (9),RB28,79,72,76,63,72,72.4,69
70,Tucker Kraft   GB (11),TE6,83,63,72,72,75,73.0,68  +2
71,Kyle Pitts Sr.   ATL (11),TE7,61,68,74,81,82,73.2,71
72,Marvin Harrison Jr.   ARI (14),WR31,70,76,68,79,74,73.4,70  +2
73,Sam LaPorta   DET (6),TE8,64,58,67,95,86,74.0,63  +10
74,Carnell Tate   TEN (9),WR32,67,67,87,82,68,74.2,72  +2
75,Dak Prescott   DAL (14),QB7,65,77,59,96,79,75.2,78  -3
76,Courtland Sutton   DEN (10),WR33,72,80,78,80,77,77.4,84  -8
77,Tony Pollard   TEN (9),RB29,85,84,73,70,78,78.0,79  -2
78,Caleb Williams   CHI (10),QB8,86,71,75,89,71,78.4,74  +4
79,Rico Dowdle   PIT (9),RB30,88,86,77,64,85,80.0,82  -3
80,DK Metcalf   PIT (9),WR34,74,75,89,84,81,80.6,77  +3
81,Jonathon Brooks   CAR (5),RB31,97,104,82,66,66,83.0,85  -4
82,Brian Thomas Jr.   JAC (7),WR35,106,74,84,87,73,84.8,76  +6
83,Justin Herbert   LAC (7),QB9,77,82,83,98,88,85.6,80  +3
84,George Kittle   SF (8),TE9,68,83,80,100,100,86.2,81  +3
85,RJ Harvey   DEN (10),RB32,121,79,92,67,80,87.8,91  -6
86,Michael Wilson   ARI (14),WR36,92,85,100,75,93,89.0,87  -1
87,Trevor Lawrence   JAC (7),QB10,89,100,79,92,90,90.0,96  -9
88,Chris Godwin Jr.   TB (10),WR37,118,93,88,73,87,91.8,83  +5
89,J.K. Dobbins   DEN (10),RB33,107,92,85,83,94,92.2,86  +3
90,Chuba Hubbard   CAR (5),RB34,102,78,105,93,92,94.0,88  +2
91,Matthew Stafford   LAR (11),QB11,80,95,90,128,95,97.6,110  -19
92,Alec Pierce   IND (13),WR38,99,99,86,97,107,97.6,92
93,Travis Kelce   KC (5),TE10,87,89,98,103,113,98.0,89  +4
94,Jaxson Dart   NYG (8),QB12,73,94,108,112,108,99.0,104  -10
95,Michael Pittman Jr.   PIT (9),WR39,78,105,114,105,96,99.6,101  -6
96,Kenny Gainwell   TB (10),RB35,94,113,97,94,101,99.8,105  -9
97,Brandon Aubrey   DAL (14),K1,75,91,104,114,117,100.2,112  -15
98,Stefon Diggs   WAS (7),WR40,95,108,113,111,83,102.0,94  +4
99,Blake Corum   LAR (11),RB36,122,102,101,90,97,102.4,93  +6
100,Jordan Mason   MIN (6),RB37,134,111,96,74,102,103.4,95  +5
101,Wan'Dale Robinson   TEN (9),WR41,108,119,112,76,103,103.6,114  -13
102,Kyle Monangai   CHI (10),RB38,116,101,111,86,104,103.6,107  -5
103,Houston Texans DST   (8),DST1,84,96,103,130,106,103.8,116  -13
104,Quentin Johnston   LAC (7),WR42,124,114,95,102,91,105.2,100  +4
105,Isaiah Likely   NYG (8),TE11,115,107,91,91,122,105.2,111  -6
106,Patrick Mahomes II   KC (5),QB13,98,110,99,123,105,107.0,122  -16
107,Jordan Addison   MIN (6),WR43,112,103,110,104,110,107.8,99  +8
108,Jacory Croskey-Merritt   WAS (7),RB39,128,115,102,88,112,109.0,103  +5
109,Brock Purdy   SF (8),QB14,101,123,93,122,114,110.6,120  -11
110,Dallas Goedert   PHI (10),TE12,93,120,81,137,123,110.8,115  -5
111,Bo Nix   DEN (10),QB15,91,117,118,113,116,111.0,119  -8
112,Jake Ferguson   DAL (14),TE13,100,97,123,131,109,112.0,118  -6
113,De'Zhaun Stribling   SF (8),WR44,141,137,115,99,69,112.2,109  +4
114,Los Angeles Rams DST   (11),DST2,96,88,107,142,128,112.2,108  +6
115,Makai Lemon   PHI (10),WR45,126,90,131,116,98,112.2,97  +18
116,Denver Broncos DST   (10),DST3,90,116,94,141,126,113.4,123  -7
117,Rachaad White   WAS (7),RB40,119,133,126,101,89,113.6,125  -8
118,Josh Downs   IND (13),WR46,130,112,122,108,99,114.2,102  +16
119,MarShawn Lloyd   GB (11),RB41,138,157,109,85,84,114.6,106  +13
120,Aaron Jones Sr.   MIN (6),RB42,110,125,119,109,115,115.6,121  -1
121,Jayden Reed   GB (11),WR47,132,109,127,107,111,117.2,98  +23
122,Dalton Kincaid   BUF (7),TE14,125,87,120,124,131,117.4,90  +32
123,Jakobi Meyers   JAC (7),WR48,114,122,129,118,118,120.2,126  -3
124,Seattle Seahawks DST   (11),DST4,104,106,117,144,138,121.8,131  -7
125,Jared Goff   DET (6),QB16,129,131,106,125,120,122.2,135  -10
126,KC Concepcion   CLE (11),WR49,144,121,116,119,119,123.8,113  +13
127,Matthew Golden   GB (11),WR50,103,127,134,134,125,124.6,117  +10
128,Mark Andrews   BAL (13),TE15,117,128,121,132,140,127.6,124  +4
129,Xavier Worthy   KC (5),WR51,123,139,139,139,129,133.8,130  -1
130,Romeo Doubs   NE (11),WR52,147,132,136,133,124,134.4,127  +3
131,Ka'imi Fairbairn   HOU (8),K2,120,129,132,155,148,136.8,141  -10
132,Cameron Dicker   LAC (7),K3,105,118,143,148,171,137.0,136  -4
133,Deebo Samuel Sr.   SF (8),WR53,139,130,128,145,145,137.4,129  +4
134,Jason Myers   SEA (11),K4,109,126,124,170,164,138.6,139  -5
135,Baker Mayfield   TB (10),QB17,143,143,135,138,134,138.6,152  -17
136,Chris Rodriguez Jr.   JAC (7),RB43,169,140,140,115,130,138.8,132  +4
137,Woody Marks   HOU (8),RB44,149,160,138,106,142,139.0,138  -1
138,Mike Washington Jr.   LV (13),RB45,167,158,125,110,139,139.8,133  +5
139,Philadelphia Eagles DST   (10),DST5,131,124,133,154,159,140.2,142  -3
140,Kyler Murray   MIN (6),QB18,136,162,137,140,127,140.4,144  -4
141,Tyler Allgeier   ARI (14),RB46,166,145,152,120,136,143.8,137  +4
142,Jalen Coker   CAR (5),WR54,155,146,145,143,133,144.4,134  +8
143,Zach Charbonnet   SEA (11),RB47,152,149,142,129,151,144.6,148  -5
144,Tyjae Spears   TEN (9),RB48,145,165,151,117,146,144.8,145  -1
145,Jordyn Tyson   NO (8),WR55,183,98,156,150,143,146.0,128  +17
146,Rashid Shaheed   SEA (11),WR56,161,147,149,126,147,146.0,143  +3
147,Khalil Shakir   BUF (7),WR57,135,144,161,160,137,147.4,140  +7
148,Jordan Love   GB (11),QB19,154,150,147,157,132,148.0,147  +1
149,Cam Little   JAC (7),K5,137,134,157,159,167,150.8,157  -8
150,Juwan Johnson   NO (8),TE16,159,182,141,121,155,151.6,149  +1
151,Pittsburgh Steelers DST   (9),DST6,113,154,146,183,174,154.0,163  -12
152,Tyler Shough   NO (8),QB20,151,187,153,151,141,156.6,182  -30
153,New England Patriots DST   (11),DST7,150,136,154,179,173,158.4,150  +3
154,Brenton Strange   JAC (7),TE17,178,152,144,173,154,160.2,158  -4
155,Isiah Pacheco   DET (6),RB49,158,189,158,146,152,160.6,168  -13
156,Hunter Henry   NE (11),TE18,148,141,159,167,191,161.2,146  +10
157,Baltimore Ravens DST   (13),DST8,127,135,163,204,180,161.8,161  -4
158,Alvin Kamara   NO (8),RB50,162,166,174,152,157,162.2,159  -1
159,Minnesota Vikings DST   (6),DST9,193,151,130,177,178,165.8,155  +4
160,Jonah Coleman   DEN (10),RB51,204,170,155,127,177,166.6,151  +9
161,Keaton Mitchell   LAC (7),RB52,206,186,171,136,135,166.8,154  +7
162,Keenan Allen   IND (13),WR58,173,198,182,165,121,167.8,174  -12
163,Jake Bates   DET (6),K6,156,142,170,187,185,168.0,170  -7
164,Harrison Mevis   LAR (11),K7,133,153,183,198,190,171.4,165  -1
165,Brian Robinson Jr.   ATL (11),RB53,179,169,184,158,170,172.0,162  +3
166,T.J. Hockenson   MIN (6),TE19,146,164,194,174,187,173.0,171  -5
167,Malik Willis   MIA (6),QB21,177,208,165,168,150,173.6,190  -23
168,Denzel Boston   CLE (11),WR59,191,172,164,185,156,173.6,160  +8
169,Jacksonville Jaguars DST   (7),DST10,181,156,173,180,181,174.2,177  -8
170,Dylan Sampson   CLE (11),RB54,198,191,176,153,162,176.0,179  -9
171,Tank Bigsby   PHI (10),RB55,219,178,172,147,166,176.4,156  +15
172,Kenyon Sadiq   NYJ (13),TE20,163,171,187,189,179,177.8,181  -9
173,Tre Tucker   LV (13),WR60,199,202,169,163,160,178.6,173
174,Ja'Kobi Lane   BAL (13),WR61,190,159,167,166,216,179.6,153  +21
175,Los Angeles Chargers DST   (7),DST11,174,180,168,196,186,180.8,184  -9
176,Dalton Schultz   HOU (8),TE21,189,188,160,194,182,182.6,175  +1
177,Harrison Butker   KC (5),K8,142,161,185,223,211,184.4,208  -31
178,Daniel Jones   IND (13),QB22,160,204,162,206,193,185.0,219  -41
179,Detroit Lions DST   (6),DST12,153,155,178,239,210,187.0,166  +13
180,Jerry Jeudy   CLE (11),WR62,184,190,181,188,192,187.0,186  -6
181,C.J. Stroud   HOU (8),QB23,172,205,166,208,188,187.8,220  -39
182,Tyler Loop   BAL (13),K9,171,177,208,201,184,188.2,183  -1
183,Eddy Pineiro   SF (8),K10,140,193,188,222,207,190.0,211  -28
184,Sam Darnold   SEA (11),QB24,164,163,150,178,303,191.6,185  -1
185,Tank Dell   HOU (8),WR63,165,185,196,232,195,194.6,204  -19
186,Evan McPherson   CIN (6),K11,205,179,192,242,208,205.2,225  -39
187,Will Reichard   MIN (6),K12,180,168,201,236,245,206.0,199  -12
188,Green Bay Packers DST   (11),DST13,200,203,207,214,209,206.6,215  -27
189,Emmett Johnson   KC (5),RB56,253,209,191,171,214,207.6,193  -4
190,Dallas Cowboys DST   (14),DST14,176,200,193,226,246,208.2,213  -23
191,Buffalo Bills DST   (7),DST15,196,219,190,228,221,210.8,203  -12
192,Cooper Kupp   SEA (11),WR64,203,199,205,238,213,211.6,197  -5
193,Tyrone Tracy Jr.   NYG (8),RB57,,173,148,135,144,150.0,164  +29
194,Calvin Ridley   TEN (9),WR65,187,344,197,156,203,217.4,227  -33
195,Cairo Santos   CHI (10),K13,195,250,199,240,238,224.4,270  -75
196,Chicago Bears DST   (10),DST16,211,225,210,249,230,225.0,275  -79
197,Kayshon Boutte   HOU (8),WR66,,201,195,149,163,177.0,188  +9
198,Kaelon Black   SF (8),RB58,,196,175,161,183,178.8,169  +29
199,Chig Okonkwo   WAS (7),TE22,,192,189,176,165,180.5,187  +12
200,Braelon Allen   NYJ (13),RB59,,207,179,164,176,181.5,189  +11
201,Cyrus Allen   KC (5),WR67,222,176,,184,149,182.8,178  +23
202,Terrance Ferguson   LAR (11),TE23,186,206,,182,158,183.0,198  +4
203,Jalen Nailor   LV (13),WR68,,184,212,175,169,185.0,167  +36
204,Cleveland Browns DST   (11),DST17,157,378,204,247,224,242.0,241  -37
205,Jalen McMillan   TB (10),WR69,170,211,,212,172,191.3,195  +10
206,Jauan Jennings   MIN (6),WR70,,215,213,192,153,193.3,200  +6
207,Wil Lutz   DEN (10),K14,212,345,214,221,269,252.2,248  -41
208,AJ Barner   SEA (11),TE24,216,181,203,,212,203.0,191  +17
209,Chris Boswell   PIT (9),K15,168,148,,245,263,206.0,231  -22
210,Kansas City Chiefs DST   (5),DST18,175,233,206,,217,207.8,251  -41
211,Trey Smack   GB (11),K16,182,195,,237,241,213.8,261  -50
212,David Njoku   LAC (7),TE25,213,228,,169,252,215.5,253  -41
213,Andy Borregales   NE (11),K17,,174,216,235,254,219.8,265  -52
214,Cam Ward   TEN (9),QB25,202,247,,248,197,223.5,228  -14
215,Greg Dulcich   MIA (6),TE26,,248,202,241,218,227.3,234  -19
216,James Conner   ARI (14),RB60,,254,215,250,215,233.5,273  -57
217,Pat Freiermuth   PIT (9),TE27,208,285,,219,227,234.8,210  +7
218,Chase McLaughlin   TB (10),K18,,227,211,243,261,235.5,207  +11
219,Travis Hunter   JAC (7),WR71,111,167,,213,,163.7,176  +43
220,Oronde Gadsden II   LAC (7),TE28,,138,,218,161,172.3,172  +48
221,New York Giants DST   (8),DST19,214,278,,231,266,247.3,222  -1
222,Kaleb Johnson   GB (11),RB61,254,217,,199,321,247.8,247  -25
223,Malik Washington   MIA (6),WR72,,175,,197,175,182.3,180  +43
224,Justice Hill   BAL (13),RB62,188,,,172,189,183.0,217  +7
225,Omar Cooper Jr.   NYJ (13),WR73,,194,,227,168,196.3,209  +16
226,Jacoby Brissett   ARI (14),QB26,303,305,,225,219,263.0,249  -23
227,Ray Davis   BUF (7),RB63,,230,,195,196,207.0,205  +22
228,Fernando Mendoza   LV (13),QB27,185,183,,,257,208.3,196  +32
229,Bryce Young   CAR (5),QB28,192,235,,,200,209.0,244  -15
230,Caleb Douglas   MIA (6),WR74,,197,,205,228,210.0,192  +38
231,Tyler Bass   BUF (7),K19,210,420,,246,222,274.5,269  -38
232,Jordan James   SF (8),RB64,,,209,203,229,213.7,268  -36
233,San Francisco 49ers DST   (8),DST20,194,218,,,235,215.7,201  +32
234,Adonai Mitchell   NYJ (13),WR75,,253,,191,206,216.7,194  +40
235,Malachi Fields   NYG (8),WR76,,223,,193,236,217.3,236  -1
236,Jaydon Blue,RB65,,241,,207,204,217.3,250  -14
237,Tre' Harris   LAC (7),WR77,,251,,202,201,218.0,259  -22
238,Atlanta Falcons DST   (11),DST21,,240,177,,242,219.7,
239,Ryan Flournoy   DAL (14),WR78,,252,,216,194,220.7,235  +4
240,Aaron Rodgers   PIT (9),QB29,201,243,,,226,223.3,262  -22
241,Isaac TeSlaa   DET (6),WR79,,244,,234,199,225.7,206  +35
242,Najee Harris   NYG (8),RB66,,224,,186,271,227.0,243  -1
243,Nicholas Singleton   TEN (9),RB67,,213,,217,251,227.0,233  +10
244,Zachariah Branch   ATL (11),WR80,,210,,251,223,228.0,218  +26
245,Cade Otton   TB (10),TE29,,261,200,,233,231.3,254  -9
246,Kimani Vidal   LAC (7),RB68,,273,,224,205,234.0,246
247,Jake Elliott   PHI (10),K20,197,220,,,286,234.3,274  -27
248,Tyreek Hill,WR81,231,237,,,265,244.3,239  +9
249,Sean Tucker   TB (10),RB69,,308,,211,225,248.0,267  -18
250,Kaytron Allen   WAS (7),RB70,,281,,220,243,248.0,232  +18
251,Chris Bell   MIA (6),WR82,,289,,190,268,249.0,214  +37
252,New Orleans Saints DST   (8),DST22,,313,186,,260,253.0,
253,Shedeur Sanders   CLE (11),QB30,234,268,,,273,258.3,
254,J.J. McCarthy   MIN (6),QB31,241,229,,,307,259.0,
255,Jaylen Wright   MIA (6),RB71,,324,,210,253,262.3,226  +29
256,Carolina Panthers DST   (5),DST23,233,276,,,284,264.3,
257,Cincinnati Bengals DST   (6),DST24,218,293,,,289,266.7,
258,Devaughn Vele   NO (8),WR83,,284,,229,291,268.0,230  +28
259,Dontayvion Wicks   PHI (10),WR84,,,,162,198,180.0,216  +43
260,Christian Kirk   SF (8),WR85,257,296,,,278,277.0,
261,Kyle Williams   NE (11),WR86,310,226,,,318,284.7,
262,Eli Stowers   PHI (10),TE30,307,279,,,277,287.7,
263,Joe Mixon,RB72,275,238,,,379,297.3,
264,Chimere Dike   TEN (9),WR87,236,246,,,411,297.7,202  +62
265,Devin Singletary   NYG (8),RB73,390,,,200,306,298.7,
266,Ty Simpson   LAR (11),QB32,283,298,,,326,302.3,
267,Tennessee Titans DST   (9),DST25,242,386,,,280,302.7,
268,Las Vegas Raiders DST   (13),DST26,228,399,,,287,304.7,
269,Dominic Zvada   NYG (8),K21,244,,,209,,226.5,
270,Nick Folk   ATL (11),K22,,407,198,,317,307.3,252  +18
271,Brandon Aiyuk   SF (8),WR88,292,338,,,293,307.7,
272,George Holani   SEA (11),RB74,,,,230,232,231.0,237  +35
273,Antonio Williams   WAS (7),WR89,,265,,,202,233.5,271  +2
274,Chris Brooks   GB (11),RB75,,,,181,288,234.5,
275,Indianapolis Colts DST   (13),DST27,,221,,,262,241.5,
276,Jaylin Noel   HOU (8),WR90,,214,,,276,245.0,255  +21
277,Malik Davis   DAL (14),RB76,,,,215,282,248.5,264  +13
278,Gunnar Helm   TEN (9),TE31,,260,,,237,248.5,223  +55
279,Washington Commanders DST   (7),DST28,220,,,,279,249.5,
280,Pat Bryant   DEN (10),WR91,,236,,,267,251.5,224  +56
281,Rashod Bateman   BAL (13),WR92,,258,,,248,253.0,221  +60
282,Germie Bernard   PIT (9),WR93,,249,,,259,254.0,260  +22
283,Samaje Perine   CIN (6),RB77,,,,252,256,254.0,229  +54
284,Michael Penix Jr.   ATL (11),QB33,,239,,,272,255.5,
285,Tampa Bay Buccaneers DST   (10),DST29,,257,,,258,257.5,
286,Mason Taylor   NYJ (13),TE32,,231,,,285,258.0,
287,Tua Tagovailoa   ATL (11),QB34,,269,,,250,259.5,
288,Matt Gay   LV (13),K23,209,371,,,404,328.0,
289,Darnell Washington   PIT (9),TE33,225,,,,301,263.0,
290,Miami Dolphins DST   (6),DST30,215,421,,,353,329.7,
291,Troy Franklin   DEN (10),WR94,,297,,,231,264.0,
292,Cole Kmet   CHI (10),TE34,221,,,,309,265.0,
293,Ted Hurst III   TB (10),WR95,,283,,,249,266.0,212  +81
294,Riley Patterson   MIA (6),K24,270,379,,,346,331.7,
295,Marvin Mims Jr.   DEN (10),WR96,,222,,,314,268.0,
296,Keon Coleman   BUF (7),WR97,,263,,,281,272.0,263  +33
297,Jack Bech   LV (13),WR98,,275,,,270,272.5,272  +25
298,Jason Sanders   NYJ (13),K25,239,,,,311,275.0,
299,Tory Horton   SEA (11),WR99,,242,,,308,275.0,
300,Darnell Mooney   NYG (8),WR100,,331,,,220,275.5,
301,Kirk Cousins   LV (13),QB35,304,,,,247,275.5,
302,Seth McGowan   IND (13),RB78,,,,233,324,278.5,242  +60
303,Arizona Cardinals DST   (14),DST31,235,390,,,400,341.7,
304,Jake Tonges   SF (8),TE35,,294,,,275,284.5,
305,Emanuel Wilson   SEA (11),RB79,,335,,,240,287.5,
306,Colby Parkinson   LAR (11),TE36,,339,,,239,289.0,238  +68
307,Ben Sauls   NYG (8),K26,232,,,,347,289.5,
308,Trey Benson   ARI (14),RB80,280,349,,,412,347.0,
309,Jameis Winston   NYG (8),QB36,269,,,,312,290.5,
310,Blake Grupe,K27,,,180,,403,291.5,
311,Demond Claiborne   MIN (6),RB81,,300,,,283,291.5,258  +53
312,Spencer Shrader   IND (13),K28,240,,,,345,292.5,
313,Drew Stevens   WAS (7),K29,285,,,,302,293.5,
314,Chad Ryland   ARI (14),K30,245,,,,344,294.5,
315,Tommy DeVito   NE (11),QB37,260,,,,330,295.0,
316,Elic Ayomanor   TEN (9),WR101,,295,,,299,297.0,
317,Joey Slye   TEN (9),K31,226,,,,371,298.5,
318,Andre Szmyt   CLE (11),K32,238,,,,362,300.0,
319,Dawson Knox   BUF (7),TE37,227,,,,377,302.0,
320,Skyler Bell   BUF (7),WR102,249,,,,355,302.0,
321,Theo Johnson   NYG (8),TE38,,256,,,348,302.0,
322,Hollywood Brown   PHI (10),WR103,314,,,,292,303.0,
323,Devontez Walker   BAL (13),WR104,312,,,,294,303.0,
324,Luke McCaffrey   WAS (7),WR105,247,,,,367,307.0,
325,Kyle Allen   BUF (7),QB38,288,,,,327,307.5,
326,Zavion Thomas   CHI (10),WR106,243,,,,384,313.5,
327,Kendre Miller   NO (8),RB82,,232,,,398,315.0,256  +71
328,Jake Moody,K33,266,,,,364,315.0,
329,Drew Allar   PIT (9),QB39,262,,,,372,317.0,
330,Ryan Fitzgerald   CAR (5),K34,229,,,,406,317.5,
331,Joe Flacco   CIN (6),QB40,306,,,,336,321.0,
332,Devin Neal   NO (8),RB83,,212,,,433,322.5,
333,Lil'Jordan Humphrey   DEN (10),WR107,258,,,,388,323.0,
334,Audric Estime   NO (8),RB84,,272,,,374,323.0,
335,Justin Fields   KC (5),QB41,305,,,,342,323.5,
336,J.J. Taylor,RB85,297,352,,,,324.5,
337,Drew Lock   SEA (11),QB42,327,,,,322,324.5,
338,Brashard Smith   KC (5),RB86,,234,,,420,327.0,
339,Tyler Higbee   LAR (11),TE39,237,,,,417,327.0,
340,Tyrod Taylor   GB (11),QB43,322,,,,333,327.5,
341,Jack Strand   ATL (11),QB44,265,,,,394,329.5,
342,Odell Beckham Jr.   NYG (8),WR108,207,,,,,207.0,266  +76
343,Joshua Palmer   BUF (7),WR109,271,,,,399,335.0,
344,Eli Heidenreich   PIT (9),RB87,350,,,,320,335.0,
345,Elijah Arroyo   SEA (11),TE40,248,,,,426,337.0,
346,Colbie Young   CIN (6),WR110,362,,,,313,337.5,
347,Ja'Tavion Sanders   CAR (5),TE41,268,,,,409,338.5,
348,Justin Tucker,K35,217,,,,,217.0,
349,KaVontae Turpin   DAL (14),WR111,223,,,,457,340.0,
350,Quinn Ewers   JAC (7),QB45,321,,,,361,341.0,
351,Younghoe Koo,K36,224,,,,,224.0,
352,Josh Williams,RB88,302,,,,385,343.5,
353,Elijah Sarratt   BAL (13),WR112,469,245,,,444,386.0,
354,Tyler Huntley   BAL (13),QB46,381,,,,310,345.5,
355,Philip Rivers,QB47,230,,,,,230.0,
356,Evan Engram   DEN (10),TE42,,,,,234,234.0,
357,Adam Randall   BAL (13),RB89,,,,244,452,348.0,
358,CJ Daniels   LAR (11),WR113,331,,,,368,349.5,
359,Eli Raridon   NE (11),TE43,308,,,,392,350.0,
360,Josh Oliver   MIN (6),TE44,272,,,,431,351.5,
361,Elijah Higgins   ARI (14),TE45,261,,,,443,352.0,
362,Mac Jones   SF (8),QB48,351,,,,354,352.5,
363,Mike Gesicki   CIN (6),TE46,,,,,244,244.0,
364,Brock Wright   DET (6),TE47,246,,,,,246.0,
365,Barion Brown   NO (8),WR114,371,,,,338,354.5,
366,DeWayne McBride,RB90,251,,,,,251.0,
367,Sal Cannella,TE48,252,,,,,252.0,
368,Noah Gray   KC (5),TE49,255,,,,459,357.0,
369,Cade Klubnik   NYJ (13),QB49,383,,,,332,357.5,
370,Nick Fitzgerald,QB50,,255,,,,255.0,
371,Emari Demercado,RB91,,,,,255,255.0,
372,Luke Schoonmaker   DAL (14),TE50,256,,,,,256.0,
373,Jordan Whittington   LAR (11),WR115,317,,,,402,359.5,
374,Ezekiel Elliott,RB92,259,,,,,259.0,
375,Kevin Davidson,QB51,,259,,,,259.0,
376,Mason Rudolph   PIT (9),QB52,389,,,,335,362.0,
377,Jermar Jefferson,RB93,263,,,,,263.0,
378,Geno Smith   NYJ (13),QB53,,,,,264,264.0,257  +121
