Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,1,1,1,1,1.0,1
2,Bijan Robinson   ATL (11),RB2,2,2,2,2,2,2.0,2
3,Ja'Marr Chase   CIN (6),WR1,3,3,3,3,3,3.0,3
4,Puka Nacua   LAR (11),WR2,4,4,5,4,4,4.2,4
5,Christian McCaffrey   SF (8),RB3,7,5,7,5,5,5.8,5
6,Jaxon Smith-Njigba   SEA (11),WR3,5,6,6,6,6,5.8,6
7,Jonathan Taylor   IND (13),RB4,6,7,4,7,7,6.2,7
8,Amon-Ra St. Brown   DET (6),WR4,8,9,8,8,8,8.2,8
9,James Cook III   BUF (7),RB5,9,8,9,9,9,8.8,9
10,De'Von Achane   MIA (6),RB6,11,13,10,10,13,11.4,13  -3
11,CeeDee Lamb   DAL (14),WR5,10,10,14,13,11,11.6,10  +1
12,Justin Jefferson   MIN (6),WR6,12,11,15,12,10,12.0,12
13,Chase Brown   CIN (6),RB7,15,16,11,11,12,13.0,14  -1
14,Saquon Barkley   PHI (10),RB8,13,12,13,15,14,13.4,11  +3
15,Omarion Hampton   LAC (7),RB9,17,15,17,14,15,15.6,15
16,Derrick Henry   BAL (13),RB10,14,20,12,19,19,16.8,17  -1
17,Ashton Jeanty   LV (13),RB11,19,14,21,17,18,17.8,19  -2
18,Kenneth Walker III   KC (5),RB12,23,19,16,16,16,18.0,16  +2
19,A.J. Brown   NE (11),WR7,20,17,20,18,17,18.4,18  +1
20,Drake London   ATL (11),WR8,18,18,19,21,21,19.4,20
21,Josh Allen   BUF (7),QB1,16,21,18,29,31,23.0,23  -2
22,Brock Bowers   LV (13),TE1,22,23,26,25,20,23.2,22
23,George Pickens   DAL (14),WR9,27,22,22,22,26,23.8,24  -1
24,Nico Collins   HOU (8),WR10,25,25,25,24,22,24.2,21  +3
25,Trey McBride   ARI (14),TE2,21,24,27,27,25,24.8,26  -1
26,Chris Olave   NO (8),WR11,28,30,28,20,24,26.0,28  -2
27,Malik Nabers   NYG (8),WR12,30,27,29,26,23,27.0,25  +2
28,Rashee Rice   KC (5),WR13,26,29,23,33,29,28.0,32  -4
29,Kyren Williams   LAR (11),RB13,33,28,24,30,27,28.4,27  +2
30,Jeremiyah Love   ARI (14),RB14,24,26,31,28,33,28.4,29  +1
31,Javonte Williams   DAL (14),RB15,29,33,30,23,30,29.0,31
32,DeVonta Smith   PHI (10),WR14,35,32,32,37,28,32.8,30  +2
33,Breece Hall   NYJ (13),RB16,32,34,38,31,32,33.4,33
34,Travis Etienne Jr.   NO (8),RB17,37,44,33,32,35,36.2,40  -6
35,Zay Flowers   BAL (13),WR15,39,41,34,35,34,36.6,36  -1
36,Cam Skattebo   NYG (8),RB18,41,42,36,39,40,39.6,42  -6
37,Lamar Jackson   BAL (13),QB2,31,31,39,52,46,39.8,37
